ID,Genome,Pangolin_lineage,Clade,REQUESTING_UNIT,State,Abbreviations,Collection_Date,REQUESTING_SEQ,Authors,Country,Continent
CEVC_2400504,COV_EPI_ISL_19177888.fasta,JN.1,23I,UPA ZONA LESTE DE SANTOS,SAO PAULO,SP,2024-03-06,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Ana Paula, Valeiras; Willian, Fioratti",Brazil,South America
CEVC_2400529,COV_EPI_ISL_19177828.fasta,JN.1,23I,UPA JACANA,SAO PAULO,SP,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Luciano, Oliveira; Sumire, Hibi; Isabelle, Ferreira; Melissa, Palmieri; Eduardo, Mais",Brazil,South America
CEVC_2400502,COV_EPI_ISL_19177809.fasta,JN.1,23I,UPA JACANA,SAO PAULO,SP,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Luciano, Oliveira; Sumire, Hibi; Isabelle, Ferreira; Melissa, Palmieri; Eduardo, Mais",Brazil,South America
CEVC_2400554,COV_EPI_ISL_19177856.fasta,XDR,recombinant,UPA ALVES DIAS,SAO PAULO,SP,2024-03-03,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa",Brazil,South America
CEVC_2400690,COV_EPI_ISL_19177878.fasta,JN.1,23I,UPA RUDGE RAMOS,SAO PAULO,SP,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa",Brazil,South America
CEVC_2400689,COV_EPI_ISL_19177866.fasta,XDR,recombinant,UPA RUDGE RAMOS,SAO PAULO,SP,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa",Brazil,South America
CEVC_2400499,COV_EPI_ISL_19177821.fasta,JN.1,23I,UPA RUDGE RAMOS,SAO PAULO,SP,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa",Brazil,South America
CEVC_2400685,COV_EPI_ISL_19177852.fasta,XDR,recombinant,UPA ALVES DIAS,SAO PAULO,SP,2024-03-12,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa",Brazil,South America
