ID,Genome,Pangolin_lineage,Clade,Passed_QC,PARTNER_PROJECT,REQUESTING_UNIT,State,Collection_Date,REQUESTING_UNIT,Authors
CEVC_2400504,Genoma_Indels__COV-SE1024-BAXSA-BAX00099-P-A-GC_S202__Butantan_21-03-2024_SE1224.fasta,JN.1,23I,A,BAX,UPA ZONA LESTE DE SANTOS,SAO PAULO,2024-03-06,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Ana Paula, Valeiras; Willian, Fioratti"
CEVC_2400529,Genoma_Indels__COV-SE1024-PSPJA-PSP16513-P-A-GC_S174__Butantan_21-03-2024_SE1224.fasta,JN.1,23I,A,PMPSP,UPA JACANA,SAO PAULO,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Luciano, Oliveira; Sumire, Hibi; Isabelle, Ferreira; Melissa, Palmieri; Eduardo, Mais"
CEVC_2400502,Genoma_Indels__COV-SE1024-PSPJA-PSP16526-P-A-GC_S237__Butantan_21-03-2024_SE1224.fasta,JN.1,23I,A,PMPSP,UPA JACANA,SAO PAULO,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Luciano, Oliveira; Sumire, Hibi; Isabelle, Ferreira; Melissa, Palmieri; Eduardo, Mais"
CEVC_2400554,Genoma_Indels__COV-SE0924-SBCAD-SBC05534-P-A-GC_S151__Butantan_21-03-2024_SE1224.fasta,XDR,recombinant,A,SBC,UPA ALVES DIAS,SAO PAULO,2024-03-03,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa"
CEVC_2400690,Genoma_Indels__COV-SE1024-SBCRR-SBC05464-P-A-GC_S4__Butantan_04-04-2024__SE1424.fasta,JN.1,23I,A,SBC,UPA RUDGE RAMOS,SAO PAULO,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa"
CEVC_2400689,Genoma_Indels__COV-SE1024-SBCRR-SBC05471-P-A-GC_S1__Butantan_04-04-2024__SE1424.fasta,XDR,recombinant,A,SBC,UPA RUDGE RAMOS,SAO PAULO,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa"
CEVC_2400499,Genoma_Indels__COV-SE1024-SBCRR-SBC05488-P-A-GC_S200__Butantan_21-03-2024_SE1224.fasta,JN.1,23I,A,SBC,UPA RUDGE RAMOS,SAO PAULO,2024-03-05,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa"
CEVC_2400685,Genoma_Indels__COV-SE1124-SBCAD-SBC02874-P-A-GC_S9__Butantan_04-04-2024__SE1424.fasta,XDR,recombinant,A,SBC,UPA ALVES DIAS,SAO PAULO,2024-03-12,INSTITUTO BUTANTAN,"Gabriela, Ribeiro; Alex, Lima; Maria, Elias; Sandra, Vessoni; Tancredo, Santos; Sheila, Costa"
